date;Germany;Iran;Italy
2020-01-22;0;0;0
2020-01-23;0;0;0
2020-01-24;0;0;0
2020-01-25;0;0;0
2020-01-26;0;0;0
2020-01-27;1;0;0
2020-01-28;4;0;0
2020-01-29;4;0;0
2020-01-30;4;0;0
2020-01-31;5;0;2
2020-02-01;8;0;2
2020-02-02;10;0;2
2020-02-03;12;0;2
2020-02-04;12;0;2
2020-02-05;12;0;2
2020-02-06;12;0;2
2020-02-07;13;0;3
2020-02-08;13;0;3
2020-02-09;14;0;3
2020-02-10;14;0;3
2020-02-11;16;0;3
2020-02-12;16;0;3
2020-02-13;16;0;3
2020-02-14;16;0;3
2020-02-15;16;0;3
2020-02-16;16;0;3
2020-02-17;16;0;3
2020-02-18;16;0;3
2020-02-19;16;2;3
2020-02-20;16;5;3
2020-02-21;16;18;20
2020-02-22;16;28;62
2020-02-23;16;43;155
2020-02-24;16;61;229
2020-02-25;16;95;322
2020-02-26;21;139;453
2020-02-27;26;245;655
2020-02-28;53;388;888
2020-02-29;66;593;1128
2020-03-01;117;978;1694
2020-03-02;150;1501;2036
2020-03-03;188;2336;2502
2020-03-04;240;2922;3089
2020-03-05;349;3513;3858
2020-03-06;534;4747;4636
2020-03-07;684;5823;5883
2020-03-08;847;6566;7375
2020-03-09;1112;7161;9172
2020-03-10;1296;8042;10149
2020-03-11;1567;9000;12462
2020-03-12;2369;10075;15113
2020-03-13;3062;11364;17660
2020-03-14;3795;12729;21157
2020-03-15;4838;13938;24747
2020-03-16;6012;14991;27980
2020-03-17;7156;16169;31506
2020-03-18;8198;17361;35713
2020-03-19;10999;18407;41035
2020-03-20;13957;19644;47021
2020-03-21;16662;20610;53578
2020-03-22;18610;21638;59138
2020-03-23;22672;23049;63927
2020-03-24;27436;24811;69176
2020-03-25;31554;27017;74386
2020-03-26;36508;29406;80589
2020-03-27;42288;32332;86498
2020-03-28;48582;35408;92472
2020-03-29;52547;38309;97689
2020-03-30;57298;41495;101739
2020-03-31;61913;44605;105792
2020-04-01;67366;47593;110574
2020-04-02;73522;50468;115242
2020-04-03;79696;53183;119827
2020-04-04;85778;55743;124632
2020-04-05;91714;58226;128948
2020-04-06;95391;60500;132547
2020-04-07;99225;62589;135586
2020-04-08;103228;64586;139422
2020-04-09;108202;66220;143626
2020-04-10;113525;68192;147577
2020-04-11;117658;70029;152271
2020-04-12;120479;71686;156363
2020-04-13;123016;73303;159516
2020-04-14;125098;74877;162488
2020-04-15;127584;76389;165155
2020-04-16;130450;77995;168941
2020-04-17;133830;79494;172434
2020-04-18;137439;80868;175925
2020-04-19;139897;82211;178972
2020-04-20;141672;83505;181228
2020-04-21;143457;84802;183957
2020-04-22;145694;85996;187327
2020-04-23;148046;87026;189973
2020-04-24;150383;88194;192994
2020-04-25;152438;89328;195351
2020-04-26;154175;90481;197675
2020-04-27;155193;91472;199414
2020-04-28;156337;92584;201505
2020-04-29;157641;93657;203591
2020-04-30;159119;94640;205463
2020-05-01;160758;95646;207428
2020-05-02;161703;96448;209328
2020-05-03;162496;97424;210717
2020-05-04;163175;98647;211938
2020-05-05;163860;99970;213013
2020-05-06;164807;101650;214457
2020-05-07;166091;103135;215858
2020-05-08;167300;104691;217185
2020-05-09;168551;106220;218268
2020-05-10;169218;107603;219070
2020-05-11;169575;109286;219814
2020-05-12;170508;110767;221216
2020-05-13;171306;112725;222104
2020-05-14;172239;114533;223096
